Depth (m),uncorrected [CH4] (ppb),corrected [CH4] (ppb)
1423.5,711.3,708.6
1423.63,713.2,710.9
1423.76,705.2,702.3
1423.9,708.7,706.2
1424.05,709.8,707.0
1424.18,706.1,704.7
1424.31,703.1,700.8
1424.45,698.4,695.9
1424.5975,696.7,694.7
1424.73,697.5,694.6
1424.86,691.1,689.4
1425,689.7,686.9
1425.15,676.7,674.6
1425.15,686.6,684.7
1425.28,697.2,696.3
1425.41,689.0,686.9
1425.55,697.2,696.5
1425.7,690.0,688.8
1425.83,703.2,701.5
1425.96,700.3,698.9
1426.1,704.9,702.5
1426.25,696.5,694.3
1426.38,712.2,709.9
1426.51,716.0,713.6
1426.65,709.8,707.7
1426.8,718.0,716.7
1426.93,718.8,716.5
1427.06,721.9,720.7
1427.2,712.6,710.8
1427.2,718.0,716.3
1427.35,722.2,720.9
1427.48,722.3,719.9
1427.615,726.0,724.2
1427.76,724.0,722.6
1427.9,731.9,730.0
1428.03,724.3,724.1
1428.16,735.0,732.9
1428.3,736.2,733.7
1428.45,740.1,737.9
1428.58,750.1,749.0
1428.71,745.0,743.5
1428.85,743.4,743.3
1429,745.2,744.8
1429.13,746.3,744.8
1429.26,743.0,742.8
1429.4,740.9,739.4
1429.55,740.3,738.6
1429.68,742.1,740.5
1429.81,744.1,742.4
1429.95,745.2,743.4
1430.09,754.4,753.1
1430.22,747.8,747.3
1430.35,751.9,751.1
1430.48,751.0,751.0
1430.65,765.9,764.9
1430.78,754.7,753.3
1430.91,759.0,757.3
1431.05,764.7,763.8
1431.2,767.1,765.7
1431.33,769.8,769.1
1431.46,772.8,773.0
1431.6,770.3,769.1
1431.75,776.1,775.6
1431.88,777.2,776.3
1432.01,784.2,782.1
1432.15,772.9,772.9
1432.3,771.0,769.7
1432.43,772.2,772.5
1432.56,773.8,772.4
1432.7,762.8,761.6
1433.405,759.6,760.3
1433.745,737.1,737.1
1433.815,732.0,732.8
1434.83,651.6,651.6
1435.605,616.2,615.1
1435.93,561.3,561.6
1436.01,562.4,562.9
1436.64,510.1,511.1
1436.72,509.9,510.9
1437.2,505.1,506.8
1437.25,513.3,513.5
1437.38,506.4,507.1
1437.51,504.9,505.6
1437.65,504.7,503.9
1437.735,498.0,500.2
1437.805,504.5,505.9
1437.805,506.4,506.7
1437.875,502.8,503.6
1438.3,516.0,518.8
1438.85,498.6,501.8
1439.4,520.5,521.2
1440.005,510.6,510.4
1441.045,519.1,520.1
1441.59,511.5,511.1
1442.205,505.8,503.8
1443.24,514.2,512.6
1443.79,511.0,509.1
1444.405,496.7,492.5
1445.44,502.9,500.0
1445.99,505.0,501.9
1446.605,508.8,504.6
1447.64,501.6,498.8
1448.19,501.2,499.2
1448.805,499.6,496.0
1449.84,494.0,491.8
1450.39,510.0,507.8
1451.005,504.2,501.8
1451.49,500.5,498.6
1452.1,498.1,495.0
1452.23,499.2,495.6
1452.36,495.4,492.3
1452.5,499.1,495.5
1452.65,499.3,495.9
1452.78,496.8,493.4
1452.91,496.5,493.1
1453.05,497.0,493.3
1453.05,495.5,491.9
1453.2,498.3,494.8
1453.33,511.5,507.7
1453.46,501.2,497.3
1453.6,495.9,491.7
1453.75,488.2,484.3
1453.88,503.9,500.0
1453.88,496.4,492.5
1454.01,497.3,493.1
1454.15,494.2,490.6
1454.3,492.8,488.9
1454.43,487.9,484.1
1454.56,500.8,497.2
1454.7,506.4,502.5
1454.85,495.5,491.6
1454.98,499.8,495.9
1455.11,505.1,501.2
1455.25,507.8,503.8
1455.4,510.6,506.6
1455.53,516.8,512.7
1455.66,518.7,514.5
1455.8,513.9,509.9
1455.95,521.9,517.5
1456.08,532.8,528.6
1456.21,528.8,524.7
1456.35,532.3,528.0
1456.485,536.8,533.0
1456.62,544.5,540.4
1456.75,535.5,531.4
1456.895,538.8,534.9
1457.05,543.7,539.6
1457.18,538.3,534.1
1457.31,550.1,546.0
1457.45,558.4,554.7
1457.6,553.4,549.4
1457.73,554.8,550.7
1458,557.3,553.1
1458.15,574.8,570.7
1458.28,580.2,576.3
1458.41,600.0,595.7
1458.55,597.0,593.1
1458.7,619.4,615.4
1458.83,616.3,612.4
1458.96,626.7,622.7
1459.1,634.3,630.3
1459.25,632.9,629.0
1459.38,634.9,630.7
1459.51,632.6,628.6
1459.65,643.4,639.4
1459.79,649.2,645.0
1459.92,649.0,644.9
1460.05,650.1,646.1
1460.2,653.0,648.7
1460.35,665.4,661.3
1460.48,667.2,662.9
1460.61,667.2,662.9
1460.75,669.6,665.3
1460.9,694.9,691.0
1461.04,696.6,692.5
1461.17,691.6,687.9
1461.305,693.7,689.9
1461.45,696.3,692.1
1461.58,700.4,696.8
1461.71,702.6,699.2
1461.85,701.3,697.3
1462,702.8,699.3
1462.13,704.6,701.5
1462.26,703.3,699.8
1462.4,702.5,698.8
1463.65,676.5,672.6
1463.655,682.7,678.8
1463.78,675.1,671.0
1463.91,674.8,670.7
1464.14,680.4,677.4
1464.755,660.4,656.3
1465.79,643.8,640.8
1466.405,632.8,628.7
1466.89,651.5,648.6
1467.505,652.8,648.9
1468.55,697.9,695.0
1469.155,701.0,696.9
1470.255,698.8,694.7
1471.295,711.9,709.1
1471.905,709.7,706.2
1472.39,704.5,702.6
1473.005,705.6,702.2
1474.045,709.5,706.5
1474.59,703.6,700.6
1474.655,701.9,697.6
1475.14,701.1,698.2
1475.755,699.3,695.6
1476.79,705.6,702.8
1477.34,697.5,694.4
1477.89,680.5,677.3
1478.44,666.8,663.7
1478.99,663.6,660.6
1479.54,682.6,679.8
1480.155,679.4,675.1
1480.64,679.1,676.3
1481.255,686.5,682.2
1482.29,698.9,696.1
1482.905,699.0,694.7
1483.39,687.5,684.2
1483.9325,680.3,677.2
1484.005,678.4,675.3
1484.005,672.0,667.6
1485.04,681.6,678.4
1485.655,674.3,669.8
1486.14,671.0,667.8
1486.755,630.9,626.4
1487.79,610.9,608.5
1488.405,615.3,611.3
1488.89,653.6,650.8
1489.505,663.1,661.2
1490.525,660.2,660.5
1491.155,646.2,645.6
1491.64,652.5,653.2
1492.255,656.4,655.8
1493.29,648.9,649.9
1493.905,635.0,635.3
1494.39,643.9,645.2
1495.005,639.8,640.8
1496.04,650.8,652.6
1496.655,634.4,633.7
1497.14,646.7,647.7
1497.755,642.4,645.6
1498.85,658.5,657.6
1498.98,657.3,657.5
1499.11,639.1,640.0
1499.25,650.5,651.0
1499.4,650.9,651.7
1499.53,645.1,646.5
1499.8,657.8,658.9
1499.95,643.1,644.4
1499.95,649.1,650.7
1500.08,645.6,644.4
1500.08,661.5,660.5
1500.21,659.7,659.1
1500.35,657.4,657.3
1500.5,654.8,654.3
1500.63,639.7,638.8
1500.76,658.7,658.3
1500.9,658.3,657.3
1501.05,665.6,664.1
1501.18,649.5,648.2
1501.31,653.6,652.2
1501.45,650.7,650.1
1501.59,649.8,649.7
1501.72,648.9,648.3
1501.85,645.2,645.2
1502,644.5,645.1
1502.15,641.2,641.6
1502.28,635.6,634.7
1502.41,636.9,636.4
1502.55,638.5,638.0
1502.7,630.4,630.8
1502.83,632.2,632.6
1502.96,622.4,622.5
1503.085,623.6,623.7
1503.25,626.6,626.4
1503.25,624.5,624.5
1503.38,623.1,622.8
1503.51,615.5,616.8
1503.51,613.4,614.9
1503.65,608.4,610.5
1503.8,599.3,602.6
1503.93,593.9,596.5
1504.06,588.1,588.6
1504.2,594.7,598.3
1504.35,595.0,594.5
1504.48,566.0,567.4
1504.61,582.7,583.3
1504.75,554.5,554.6
1504.8425,545.9,548.2
1504.9,561.8,562.6
1504.9275,557.9,559.4
1505.03,545.0,547.1
1505.055,528.0,531.7
1505.1375,543.5,544.9
1505.16,543.1,543.8
1505.2225,537.9,540.9
1505.3,535.1,536.7
1505.305,533.0,535.2
1505.385,511.0,513.2
1505.45,531.6,532.0
1505.4825,525.4,527.1
1505.58,510.2,511.3
1505.585,486.2,488.6
1505.6525,505.5,506.8
1505.71,508.4,508.9
1505.7575,504.6,506.8
1505.85,509.0,508.5
1506,509.3,509.2
1506,499.7,499.7
1506.13,499.5,500.8
1506.26,502.7,503.9
1506.4,500.3,501.2
1506.55,499.3,500.3
1506.68,499.0,499.0
1506.81,496.1,497.3
1506.95,492.0,493.5
1507.1,491.9,492.2
1507.23,486.1,487.5
1507.36,491.0,492.5
1507.5,497.9,500.2
1507.65,494.2,496.6
1507.78,490.8,492.5
1507.91,490.9,493.8
1508.05,494.2,496.5
1508.2,493.5,497.6
1508.305,496.2,499.7
1508.46,489.9,494.3
1508.6,487.4,491.8
1508.75,485.8,488.4
1508.9,491.3,492.4
1509.03,484.6,487.1
1509.16,482.5,483.0
1509.3,485.3,486.6
1509.43,495.6,496.9
1509.43,482.7,484.1
1509.56,497.4,501.5
1509.7,493.8,497.6
1509.7,487.1,491.0
1509.85,488.2,489.9
1509.98,484.1,484.2
1510.11,485.3,486.1
1510.25,478.9,482.9
1510.4,483.9,486.0
1510.53,484.0,486.6
1510.66,483.4,487.4
1510.8,477.5,479.9
1510.94,498.3,498.9
1511.07,483.5,486.3
1511.2,486.8,487.3
1511.345,477.7,480.2
1512.54,482.8,487.1
1513.095,482.5,487.0
1513.645,489.2,492.8
1513.705,486.6,490.1
1514.195,484.1,488.2
1514.745,489.1,492.7
1515.295,489.2,492.9
1515.905,484.9,488.6
1516.395,480.9,484.3
1516.945,471.0,473.7
1518.105,465.5,469.7
1518.595,461.8,467.1
1519.145,461.5,471.1
1519.695,456.7,461.2
1520.305,470.5,472.9
1520.795,454.4,459.8
1521.345,451.9,458.0
1521.895,462.6,467.5
1522.505,474.6,477.4
1522.995,467.3,474.1
1523.545,476.6,481.2
1524.095,443.2,448.5
1524.705,452.8,460.3
1525.195,456.0,462.9
1525.745,450.3,458.5
1526.305,443.5,450.9
1526.905,435.9,442.6
1527.945,447.5,451.6
1528.495,446.3,447.8
1529.045,434.5,438.5
1529.105,438.9,439.8
1529.605,432.3,434.9
1530.145,429.2,430.7
1530.695,428.2,429.5
1531.305,436.7,437.5
1531.795,425.5,428.9
1532.345,430.5,435.0
1533.505,419.8,423.6
1533.995,413.0,415.6
1534.545,416.0,421.6
1535.095,418.1,421.4
1535.705,421.3,422.9
1536.195,414.3,416.7
1536.745,411.0,413.2
1537.295,406.2,408.8
1537.905,402.8,404.0
1538.385,402.2,405.1
1538.945,398.5,401.3
1539.495,400.4,404.5
1540.105,397.0,399.4
1540.595,398.7,401.4
1541.145,381.0,382.2
1541.74,386.7,388.1
1542.245,388.6,389.9
1542.305,389.1,389.7
1542.795,400.5,401.9
1543.345,388.7,391.6
1543.895,396.5,397.8
1544.505,396.7,398.6
1544.995,394.0,397.6
1545.545,391.1,394.5
1546.095,402.5,405.2
1546.705,385.7,389.1
1547.195,384.3,387.6
1547.745,395.9,399.3
1548.295,385.8,387.6
1548.905,380.7,381.7
1549.395,390.4,393.6
1549.945,384.0,387.2
1550.495,382.9,388.4
1551.105,390.3,391.3
1551.595,388.9,391.0
1552.145,388.3,389.0
1552.695,391.2,391.8
1553.245,402.3,404.7
1553.305,386.1,387.9
1553.795,389.0,392.8
1554.345,392.0,394.9
1554.895,392.3,394.6
1555.505,389.5,389.4
1555.995,386.5,389.9
1556.545,397.7,401.3
1557.095,383.2,387.2
1557.705,382.2,385.2